Topic-Discriptor ,lis of 15 features in eact topic
quick & easy bread,"bread,quick-breads,loaf,wheat,rolls-biscuits,muffins,low-cholesterol,small-appliance,for-large-groups,sourdough,batter,week-night,coffee-cakes,high-calcium,easy"
sweet desserts for holidays,"springform,cookies,brownie,for-large-groups,cocoa,almond,easter,pine,scone,cupcake,pudding,phyllo,flour,christmas,pancake"
Pies-tarts,"apple,dessert,peanut-butter,electric-equipments,pies-and-tarts,cranberry,walnut,caramel,oatmeal,applesauce,pecan,maple,pear,batter,peach"
savory greek main,"tomato,olive,tuna,cilantro,green-yellow-beans,salsa,lettuce,feta,sun-dried-tomato/capcicum,avocado,jalapeno,tortilla,main-dish,cucumber,soups-stews"
potato based dishes ,"potato,pot-roast,shallot,vegetable,casserole,russet,yam,olive,mash,sweet-potatoes,cheddar,chowder,yukon,dutch-oven,european"
spicy & umami curry,"coconut,indian,almond,oat,tilapia,pecan,mango,caribbean,south-west-pacific,cilantro,australian,macadamia,lemongrass,spicy,lentil"
Smothiee ,"blender,blueberry,strawberry,raspberry,spinach,dessert,yogurt,smoothie,cheesecake,low-protein,cornstarch,served-cold,carrot,small-appliance,rhubarb"
chicken mains ,"chicken,poultry,meat,chicken-breasts,main-dish,low-carb,one-dish-meal,high-protein,chicken-thighs-legs,cajun,shredded-meat,marinated,wing,whole-chicken,soups-stews"
chitrus based food and drinks,"orange,citrus,cranberry,marmalade,mandarin,almond,coffee,tea,fish,easy,grapefruit,apricot,served-cold,eel,raspberry"
holiday pies,"pumpkin,granola,thanksgiving,christmas,macaroon,pies-and-tarts,cranberry,4-hours-or-more,cheesecake,heirloom-historical,muffins,maple,halloween,dessert,walnut"
pork mains,"pork,meat,main-dish,kielbasa,pork-chops,tenderloin,fried,pork-loins,andouille,pork-sausage,patty,high-protein,pork-ribs,crock-pot-slow-cooker,shredded-meat"
cheesy dishes,"cheese,eggs-dairy,cheddar,parmesan,appetizer,mozzarella,casserole,tortilla,high-calcium,spinach,macaroni,cheesecake,low-carb,feta,mayonnaise"
pasta mains,"pasta,enchilada,penne,parmesan,macaroni,pasta-shells,one-dish-meal,noodle,elbow-macaroni,lasagna,olive,fettuccine,linguine,orzo,goat-cheese"
north american ,"north-american,american,southern-united-states,midwestern,southwestern-united-states,refrigerate,velveeta,northeastern-united-states,kid-friendly,week-night,stove-top,served-hot,potluck,tex-mex,creole"
soups and stews,"ham,carrot,celery,meat,soups-stews,slow-cooked,vegetable,bun,casserole,bisques-cream-soups,main-dish,lamb,dijon,bouillon,one-dish-meal"
floret star-fries/salads,"broccoli,casserole,floret,cauliflower,artichoke,vegetable,cheddar,salad-dressings,stir-fry,side-dishes,less-than-one-hour,main-dish,noodle,chive,half-an-hour"
chinese desserts,"peanut,toothpick,snack,florentine,jello,6-people-or-more,marshmallow,chinese,kid-friendly,semi-sweet,pitted-fruit,tidbit,yolk,wheat,biscuit"
quiche,"bacon,black-bean,mayonnaise,lettuce,side-dishes,cheddar,chowder,cabbage,german,celery,eggs-dairy,meat,canadian,quiche,low-carb"
roman ,"italian,beef-sausage,european,olive,parmesan,mozzarella,pork-sausage,spaghetti,chorizo,pepperoni,lasagna,german,marinara,eggplant,romantic"
banana based dessert and drinks ,"banana,tropical-fruit,frozen-desserts,quick-breads,smoothie,yogurt,muffins,thermomix,walnut,blueberry,pudding,krispies,wheat,bran,batter"
easy and quick snacks ,"beginner-cook,easy,inexpensive,kid-friendly,appetizer,eggs-dairy,holiday-food,pretzel,toddler-friendly,few-ingredients-recipe,served-cold,potluck,egg-free,finger-food,served-hot"
Easy fish mains,"salmon,fish,saltwater-fish,seafood,main-dish,high-protein,spinach,low-carb,vinaigrette,cream-cheese,halibut,dijon,asparagus,chickpeas,beginner-cook"
corn based maxican ,"tortilla,cornstarch,cornmeal,casserole,salsa,chowder,cornbread,cilantro,jalapeno,chilies,cob,sweet-corn,popcorn,soups-stews,roma-tomato"
rice dishes ,"rice,side-dishes,white-rice,soy,casserole,brown-rice,chinese,one-dish-meal,basmati,long-grain,pea,risotto,pilaf,stir-fry,stove-top"
tropical juice and desserts ,"pineapple,tropical-fruit,cherry,hawaiian,mango,maraschino,carrot,low-protein,cornstarch,dessert,soy,pudding,marshmallow,easy,caribbean"
beef based mains ,"beef,meat,ground-beef,main-dish,one-dish-meal,roast-beef,sirloin,crock-pot-slow-cooker,meatloaf,casserole,meatball,scallion,noodle,breadcrumb,easy"
vegetable dishes,"vegetable,carrot,saucepan,zucchini,spinach,soups-stews,tofu,cabbage,sunflower-oil,asparagus,week-night,chickpeas,cauliflower,hard-boiled-egg,mushroom"
seafood mains,"seafood,soy-sauce,shellfish,tuna,appetizer,main-dish,wok,low-carb,leek,crabmeat,olive,cod,high-protein,easy,cream-style"
turkey mains,"turkey,meat,cooking-wine,main-dish,couscous,thanksgiving,turkey-breasts,tortilla,sausage,lettuce,cranberry,one-dish-meal,burger,gravy,casserole"
health conscious ,"low-cholesterol,low-protein,low-calorie,low-carb,easy,side-dishes,soups-stews,appetizer,smoothie,few-steps-recipe,cucumber,egg-free,savory-sauces,small-appliance,salsa"
